id,organisation_id,project_id,name,short_name,country,city,role,activity_type,sme,ec_contribution,total_cost
565383,882019352,101140087,COGNITIVE EXPERTS SL,,ES,MADRID,participant,PRC,t,170625.00,487500.00
565384,997770616,101140087,HUN REN TAMOGATOTT KUTATOCSOPORTOK IRODAJA,HUN-REN TKI,HU,BUDAPEST,participant,REC,f,572906.25,1636875.00
565385,999908787,101140087,ROBERT BOSCH GMBH,BOSCH,DE,Gerlingen-Schillerhoehe,participant,PRC,f,506597.19,2026388.75
565386,915433621,101140087,NVIDIA DENMARK APS,,DK,ROSKILDE,participant,PRC,f,452500.00,1810000.00
565387,887749239,101140087,GOLFE APS,GOLFE ENGINEERING,DK,OLSTYKKE,participant,PRC,t,74200.00,212000.00
565388,999977463,101140087,TECHNISCHE UNIVERSITAET MUENCHEN,TUM,DE,Muenchen,participant,HES,f,329656.25,941875.00
565389,999951079,101140087,ORANGE POLSKA SA,OPL,PL,WARSZAWA,participant,PRC,f,55937.50,223750.00
565390,999647178,101140087,CEFRIEL SOCIETA CONSORTILE A RESPONSABILITA LIMITATA SOCIETA BENEFIT,CEFRIEL,IT,MILANO,participant,REC,t,169575.00,484500.00
565391,888391961,101140087,COMPUTATIONAL MODELLING PIRMASENS GMBH,CMPG,DE,PIRMASENS,participant,PRC,t,305637.50,873250.00
565392,999978918,101140087,INFINEON TECHNOLOGIES AG,IFAG,DE,Neubiberg,participant,PRC,f,676367.19,2705468.75
565393,996265952,101140087,CONTINENTAL AUTOMOTIVE ROMANIA SRL,AUTOMOTIVE,RO,TIMISOARA,participant,PRC,f,359062.50,1436250.00
565394,916787547,101140087,HTEC GMBH,,DE,UNTERHACHING,participant,PRC,t,215753.13,616437.50
565395,880934989,101140087,NEXAEVE GMBH,,DE,MUNICH,participant,PRC,t,539262.50,1540750.00
565396,908829473,101140087,INBESTME EUROPE AGENCIA DE VALORES SA,,ES,Barcelona,participant,PRC,t,236250.00,675000.00
565397,999884731,101140087,SCUOLA SUPERIORE DI STUDI UNIVERSITARI E DI PERFEZIONAMENTO S ANNA,SSSA,IT,PISA,participant,HES,f,234062.50,668750.00
565398,999986678,101140087,TECHNISCHE UNIVERSITAT BERLIN,TUB,DE,Berlin,participant,HES,f,373100.00,1066000.00
565399,884638061,101140087,NVIDIA ITALY S.R.L.,,IT,Milano,participant,PRC,f,10414.06,41656.25
565400,990560024,101140087,MELLANOX TECHNOLOGIES LTD - MLNX,MELLANOX,IL,YOKNEAM,participant,PRC,f,985312.50,3941250.00
565401,882366515,101140087,QAMCOM RESEARCH AND TECHNOLOGY CENTRAL EUROPE KORLATOLT FELELOSSEGU TARSASAG,QAMCOM RESEARCH AND TECHNOLOGY CENTRAL EUROPE KFT.,HU,BUDAPEST,participant,PRC,t,185412.50,529750.00
565402,999974747,101140087,UNIVERSITY OF STUTTGART,USTUTT,DE,Stuttgart,participant,HES,f,370037.50,1057250.00
565403,996237822,101140087,IQUADRAT INFORMATICA SL,IQUADRAT,ES,BARCELONA,participant,PRC,t,189000.00,540000.00
565404,919708508,101140087,NVIDIA GmbH,,DE,Wuerselen,participant,PRC,f,128435.94,513743.75
565405,999977269,101140087,TECHNISCHE UNIVERSITEIT EINDHOVEN,TU/e,NL,Eindhoven,participant,HES,f,293869.63,839627.50
565406,911463411,101140087,SCONTAIN GMBH,,DE,DRESDEN,participant,PRC,t,438404.38,1252583.95
565407,999649603,101140087,CONSORZIO NAZIONALE INTERUNIVERSITARIO PER LE TELECOMUNICAZIONI,CNIT,IT,Parma,coordinator,HES,f,252875.00,722500.00
565408,889804087,101140087,ISRD SP Z O.O.,ISRD,PL,PIASECZNO,participant,PRC,t,260312.50,743750.00
565409,886601147,101140087,ITALTEL S.P.A.,,IT,Milano,participant,PRC,f,182812.50,731250.00
565410,999974844,101140087,UNIVERSIDAD POLITECNICA DE MADRID,UPM,ES,MADRID,participant,HES,f,165375.00,472500.00
565411,999655520,101140087,BARCELONA SUPERCOMPUTING CENTER CENTRO NACIONAL DE SUPERCOMPUTACION,BSC CNS,ES,BARCELONA,participant,REC,f,306250.00,875000.00
565412,998797652,101140087,INSTITUT FUR ANGEWANDTE INFORMATIK (INFAI) EV,INFAI,DE,Leipzig,participant,REC,f,126437.50,361250.00
565413,999981828,101140087,GOTTFRIED WILHELM LEIBNIZ UNIVERSITAET HANNOVER,LUH,DE,Hannover,participant,HES,f,116025.00,331500.00
566177,999991043,101077479,KOBENHAVNS UNIVERSITET,UCPH,DK,KOBENHAVN,coordinator,HES,f,1454635.00,1454635.00
566205,933994474,101072578,Wendelsbergs beräkningskemi AB,Wendelsbergs beräkningskemi AB,SE,Mölnlycke,associatedpartner,PRC,f,,0.00
566206,999859220,101072578,FACULTY OF PHYSICS OF THE UNIVERSITY OF BELGRADE,,RS,Belgrade,associatedpartner,HES,f,,0.00
566207,998207116,101072578,UNIVERSITE DE PICARDIE JULES VERNE,UPJV,FR,AMIENS,associatedpartner,HES,f,,0.00
566208,999979888,101072578,TECHNISCHE UNIVERSITAET WIEN,TU WIEN,AT,Wien,participant,HES,f,135165.60,0.00
566209,891841281,101072578,MATGENIX,,BE,Thuin,participant,PRC,t,131310.00,0.00
566210,999993468,101072578,IMPERIAL COLLEGE OF SCIENCE TECHNOLOGY AND MEDICINE,,UK,London,associatedpartner,HES,f,,0.00
566211,996327644,101072578,TOYOTA MOTOR EUROPE NV,TME,BE,BRUSSEL,coordinator,PRC,f,656550.00,0.00
566212,999978142,101072578,ETHNICON METSOVION POLYTECHNION,NATIONAL TECHNICAL UNIVERSITY OF ATHENS - NTUA,EL,ATHINA,participant,HES,f,120049.20,0.00
566213,999984059,101072578,FRAUNHOFER GESELLSCHAFT ZUR FORDERUNG DER ANGEWANDTEN FORSCHUNG EV,Fraunhofer,DE,MUNCHEN,participant,REC,f,130269.60,0.00
566214,999841760,101072578,ALBERT-LUDWIGS-UNIVERSITAET FREIBURG,UFR,DE,Freiburg,participant,HES,f,130269.60,0.00
566215,909119212,101072578,Altair Engineering Single shareholder ltd,Altair Engineering Single Shareholding ltd,EL,Θεσσαλονικη,associatedpartner,PRC,f,,0.00
566216,999850878,101072578,SCUOLA INTERNAZIONALE SUPERIORE DI STUDI AVANZATI DI TRIESTE,SISSA,IT,Trieste,participant,HES,f,129718.80,0.00
566217,999467631,101072578,AC2T RESEARCH GMBH,AC2T,AT,Wiener Neustadt,participant,OTH,t,135165.60,0.00
566218,999980664,101072578,UNIVERSITE CATHOLIQUE DE LOUVAIN,UCLouvain,BE,LOUVAIN LA NEUVE,associatedpartner,HES,f,,0.00
566219,999588978,101072578,PANEPISTIMIO KRITIS,UNIVERSITY OF CRETE,EL,RETHIMNO,participant,HES,f,240098.40,0.00
566220,986348478,101072578,INSTITUT TEHNICKIH NAUKA SRPSKE AKADEMIJE NAUKA I UMETNOSTI - INSTITUTE OF TECHNICAL SCIENCES OF THE SERBIAN ACADEMY OF SCIENCES AND ARTS,ITS SASA,RS,Belgrade,participant,REC,f,105422.40,0.00
566221,999663765,101072578,SOFTWARE COMPETENCE CENTER HAGENBERG GMBH,SCCH,AT,HAGENBERG,participant,REC,f,0.00,0.00
566222,934357739,101072578,SIMUNE ATOMISTICS SL,SIMUNE,ES,Donostia San Sebastian,participant,PRC,t,125985.60,0.00
566223,999952243,101072578,AVL LIST GMBH,AVL,AT,Graz,participant,PRC,f,405496.80,0.00
566224,896905360,101072578,ASOUTI V & SIA OE,,EL,PIRAEUS,participant,PRC,t,120049.20,0.00
566225,915701244,101072578,OPENCFD LIMITED,OPENCFD,UK,Bracknell Berkshire,associatedpartner,PRC,f,,0.00
566226,992392063,101072578,FREUDENBERG TECHNOLOGY INNOVATION SE & CO. KG,FTI,DE,Weinheim,participant,PRC,f,390808.80,0.00
566227,999997930,101072578,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS,CNRS,FR,PARIS,participant,REC,f,424040.40,0.00
566228,999923240,101072578,UNIVERZA V LJUBLJANI,UL,SI,Ljubljana,participant,HES,f,121089.60,0.00
566650,999985708,101220349,UNIVERSITEIT VAN AMSTERDAM,UvA,NL,Amsterdam,coordinator,HES,f,1499886.00,1499886.00
567000,999572294,101201542,UNIWERSYTET WARSZAWSKI,UNIWARSAW,PL,WARSZAWA,coordinator,HES,f,3500000.00,0.00
567146,999997736,101208926,AARHUS UNIVERSITET,AU,DK,Aarhus C,coordinator,HES,f,247553.28,0.00
567147,999484121,101208926,EUROPEAN SYNCHROTRON RADIATION FACILITY,INSTALLATION EUROPEENNE DE RAYONNEMENT SYNCHROTON,FR,Grenoble,associatedpartner,REC,f,,0.00
567439,886048053,101225708,LOGIICDEV GMBH,LOGIICDEV GMBH,AT,GRAZ-WETZELSDORF,participant,PRC,t,408750.00,408750.00
567440,886107126,101225708,SOUTH EAST TECHNOLOGICAL UNIVERSITY,,IE,WATERFORD,coordinator,HES,f,521250.00,521250.00
567441,999603916,101225708,UNIVERSITATEA DIN BUCURESTI,UB,RO,BUCURESTI,participant,HES,f,325000.00,325000.00
567442,999939051,101225708,TELESPAZIO SPA,,IT,ROMA,participant,PRC,f,278911.25,278911.25
567443,999984059,101225708,FRAUNHOFER GESELLSCHAFT ZUR FORDERUNG DER ANGEWANDTEN FORSCHUNG EV,Fraunhofer,DE,MUNCHEN,participant,REC,f,449975.00,449975.00
567444,999991722,101225708,AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS,CSIC,ES,MADRID,participant,REC,f,517500.00,517500.00
567445,999878620,101225708,UNIVERSITE DU LUXEMBOURG,uni.lu,LU,ESCH-SUR-ALZETTE,participant,HES,f,505500.00,505500.00
567446,996271093,101225708,MANDAT INTERNATIONAL ALIAS FONDATION POUR LA COOPERATION INTERNATIONALE,,CH,GENEVE,associatedpartner,REC,f,,0.00
567447,951424501,101225708,INSTYTUT INFORMATYKI TEORETYCZNEJ ISTOSOWANEJ POLSKIEJ AKADEMII NAUK,IITiS PAN,PL,GLIWICE,participant,REC,t,454062.50,454062.50
567448,999608863,101225708,RED HAT LIMITED,RHAT,IE,Cork,participant,PRC,f,431250.00,431250.00
567449,999958548,101225708,TOSHIBA EUROPE LIMITED,Toshiba Europe Limited,UK,STAINES UPON THAMES,participant,PRC,f,487500.00,487500.00
567450,999977754,101225708,POLITECNICO DI TORINO,POLITO,IT,Torino,participant,HES,f,512500.00,512500.00
567451,932449458,101225708,IOT LAB ASSOCIATION,,CH,Geneve,associatedpartner,REC,t,,0.00
567452,999975717,101225708,"UNIVERSITY COLLEGE CORK -  NATIONAL UNIVERSITY OF IRELAND, CORK",UCC,IE,Cork,participant,HES,f,420000.00,420000.00
567453,999695387,101225708,MARTEL GMBH,MARTEL GMBH,CH,DUBENDORF,associatedpartner,PRC,t,,0.00
567467,999907914,101217386,UNIVERSITAT BASEL,,CH,Basel,associatedpartner,HES,f,,0.00
567468,906703621,101217386,BASEL PRECISION INSTRUMENTS GMBH,,CH,Basel,associatedpartner,PRC,t,,0.00
567469,990462054,101217386,NKT PHOTONICS A/S,,DK,Birkerod,associatedpartner,PRC,f,,0.00
567470,922808434,101217386,REGION GRAND EST,REGION GRAND EST,FR,Strasbourg,associatedpartner,PUB,f,,0.00
567471,914864037,101217386,EUCOR - THE EUROPEAN CAMPUS,EUCOR,DE,FREIBURG,coordinator,PUB,f,6177600.00,0.00
567472,991495880,101217386,ZURICH INSTRUMENTS AG,,CH,Zurich,associatedpartner,PRC,t,,0.00
567473,919150176,101217386,QNAMI AG,,CH,Muttenz,associatedpartner,PRC,t,,0.00
567474,994705901,101217386,MENLO SYSTEMS GMBH,,DE,PLANEGG MARTINSRIED,associatedpartner,PRC,t,,0.00
567475,999843409,101217386,CINECA CONSORZIO INTERUNIVERSITARIO,CINECA,IT,CASALECCHIO DI RENO BO,associatedpartner,REC,f,,0.00
567476,882014211,101217386,uptownBasel Infinity AG,,CH,Arlesheim,associatedpartner,PRC,f,,0.00
567751,999866010,101210745,UNIVERSITY OF DURHAM,UNIVERSITY OF DURHAM,UK,DURHAM,coordinator,HES,f,276187.92,0.00
567809,999991043,101212204,KOBENHAVNS UNIVERSITET,UCPH,DK,KOBENHAVN,coordinator,HES,f,247553.28,0.00
567912,999991916,101165179,EBERHARD KARLS UNIVERSITAET TUEBINGEN,UT,DE,Tuebingen,coordinator,HES,f,1460660.36,1460660.61
567913,999990267,101165179,MAX-PLANCK-GESELLSCHAFT ZUR FORDERUNG DER WISSENSCHAFTEN EV,MPG,DE,MUNCHEN,participant,REC,f,38560.64,38560.64
567925,999907914,101219354,UNIVERSITAT BASEL,,CH,Basel,coordinator,HES,f,2364733.00,2364733.00
568113,881290591,101188457,QUANTUM TRANSISTORS TECHNOLOGY LTD,QUANTUM TRANSISTORS,IL,Binyamina,coordinator,PRC,t,2499999.00,0.00
568065,999991043,101163938,KOBENHAVNS UNIVERSITET,UCPH,DK,KOBENHAVN,coordinator,HES,f,1491741.00,1491741.00
568549,999852236,101186889,LINKOPINGS UNIVERSITET,LIU,SE,Linkoping,participant,HES,f,364608.75,364608.75
568550,997456336,101186889,STMICROELECTRONICS SILICON CARBIDE AB,,SE,Norkoping,participant,PRC,f,450000.00,450000.00
568551,999904228,101186889,BUDAPESTI MUSZAKI ES GAZDASAGTUDOMANYI EGYETEM,BUDAPEST UNIVERSITY OF TECHNOLOGY AND ECONOMICS,HU,BUDAPEST,participant,HES,f,250000.00,250000.00
568552,999853400,101186889,HERIOT-WATT UNIVERSITY,HWU,UK,Edinburgh,participant,HES,f,364791.00,364791.00
568553,893898166,101186889,Duality Quantum Photonics Ltd,Duality Quantum Photonics,UK,Bristol,participant,PRC,f,100000.00,100000.00
568554,999866204,101186889,UNIVERSITAT KONSTANZ,UKON,DE,Konstanz,participant,HES,f,245625.00,245625.00
568555,999989782,101186889,RIJKSUNIVERSITEIT GRONINGEN,,NL,Groningen,participant,HES,f,365000.00,365000.00
568556,999823912,101186889,OESTERREICHISCHE AKADEMIE DER WISSENSCHAFTEN,OEAW,AT,Wien,coordinator,REC,f,487725.00,493996.25
568557,999470541,101186889,HELMHOLTZ-ZENTRUM DRESDEN-ROSSENDORF EV,HZDR,DE,Dresden,participant,REC,f,364625.00,364625.00
568664,999978433,101165667,LUDWIG-MAXIMILIANS-UNIVERSITAET MUENCHEN,LMU MUENCHEN,DE,MUNCHEN,coordinator,HES,f,1498369.00,1498369.00
568665,999990267,101165667,MAX-PLANCK-GESELLSCHAFT ZUR FORDERUNG DER WISSENSCHAFTEN EV,MPG,DE,MUNCHEN,participant,REC,f,0.00,0.00
568850,999584128,101187539,AIT AUSTRIAN INSTITUTE OF TECHNOLOGY GMBH,AIT,AT,WIEN,coordinator,REC,f,985393.00,985393.00
568851,999606438,101187539,IHP GMBH - LEIBNIZ INSTITUTE FOR HIGH PERFORMANCE MICROELECTRONICS,LEIBNIZ-INSTITUT FUR INNOVATIVE MIKROELEKTRONIK,DE,Frankfurt Oder,participant,REC,f,852713.00,852713.00
568852,990560024,101187539,MELLANOX TECHNOLOGIES LTD - MLNX,MELLANOX,IL,YOKNEAM,participant,PRC,f,675926.25,675926.25
568853,999974165,101187539,UNIVERSITY OF GLASGOW,,UK,Glasgow,participant,HES,f,967825.00,967825.00
568921,999547074,101182520,INSTITUT NATIONAL DE RECHERCHE EN INFORMATIQUE ET AUTOMATIQUE,INRIA,FR,Le Chesnay Cedex,participant,REC,f,92000.00,0.00
568922,999841663,101182520,UNIVERSITA DEGLI STUDI DI CAGLIARI,UNICA,IT,CAGLIARI,participant,HES,f,50600.00,0.00
568923,999874449,101182520,UNIVERSIDAD DE LA REPUBLICA,UdelaR,UY,Montevideo,associatedpartner,HES,f,,0.00
568924,999862712,101182520,UNIVERSITA DI PISA,UNIPI,IT,PISA,participant,HES,f,55200.00,0.00
568925,897379108,101182520,UNIVERSITE GRENOBLE ALPES,UGA,FR,GRENOBLE,participant,HES,f,13800.00,0.00
568926,999881336,101182520,UNIVERSIDAD DE BUENOS AIRES,BUENOSAIRES UNIVERSITY,AR,Buenos Aires,associatedpartner,HES,f,,0.00
568927,999484606,101182520,UNIVERSITE PARIS XII VAL DE MARNE,UPEC,FR,Creteil,participant,HES,f,9200.00,0.00
568928,910878695,101182520,QUANDELA,,FR,MASSY,participant,PRC,t,9200.00,0.00
568929,953905276,101182520,UNIVERSIDAD NACIONAL DE QUILMES,UNQ,AR,Bernal,associatedpartner,HES,f,,0.00
568930,897691060,101182520,UNIVERSITE PARIS CITE,UPCité,FR,PARIS,participant,HES,f,193200.00,0.00
568931,897067059,101182520,UNIVERSITE PARIS-SACLAY,,FR,GIF-SUR-YVETTE,associatedpartner,HES,f,,0.00
568932,955518483,101182520,UNIVERSITE D'AIX MARSEILLE,AMU,FR,Marseille,participant,HES,f,13800.00,0.00
568933,933906883,101182520,CENTRALESUPELEC,,FR,GIF SUR YVETTE,coordinator,HES,f,41400.00,0.00
568934,997437906,101182520,Universita' degli Studi di Urbino Carlo Bo,UNIURB,IT,Urbino,participant,HES,f,36800.00,0.00
568958,999971837,101141410,INSTITUT JOZEF STEFAN,JSI,SI,Ljubljana,coordinator,REC,f,535010.50,535010.50
568959,957319967,101141410,CENTER ODLICNOSTI NANOZNANOSTI IN NANOCENTER,CENTER OF EXCELLENCE ON NANOSCIENCE AND NANOTEHNOL,SI,Ljubljana,participant,OTH,f,1887242.50,1887242.50
569613,999902870,101168820,UNIVERSITEIT ANTWERPEN,UANTWERPEN,BE,Antwerpen,participant,HES,f,262620.00,0.00
569614,999986096,101168820,UNIVERSITEIT GENT,UGent,BE,GENT,coordinator,HES,f,787860.00,0.00
569615,897853632,101168820,Materials Zone,Materials Zone,IL,Tivon,associatedpartner,PRC,f,,0.00
569616,894851870,101168820,QUSTOMDOT,QUSTOMDOT,BE,ZWIJNAARDE,associatedpartner,PRC,t,,0.00
569617,999989103,101168820,VERENIGING VOOR CHRISTELIJK HOGER ONDERWIJS WETENSCHAPPELIJK ONDERZOEK EN PATIENTENZORG,VUA,NL,Amsterdam,associatedpartner,HES,f,,0.00
569618,916927712,101168820,GLASS TO POWER S.P.A.,G2P,IT,Rovereto,participant,PRC,t,259437.60,0.00
569619,999596447,101168820,FONDAZIONE ISTITUTO ITALIANO DI TECNOLOGIA,IIT,IT,Genova,participant,REC,f,259437.60,0.00
569620,998282485,101168820,SOFTWARE FOR CHEMISTRY & MATERIALS BV,SCM,NL,AMSTERDAM,participant,PRC,t,274370.40,0.00
569621,999979015,101168820,EIDGENOESSISCHE TECHNISCHE HOCHSCHULE ZUERICH,ETH Zürich,CH,Zuerich,participant,HES,f,595252.80,0.00
569622,999923531,101168820,UNIVERSITA' DEGLI STUDI DI MILANO-BICOCCA,UNIMIB,IT,Milano,participant,HES,f,259437.60,0.00
569623,999985805,101168820,UNIVERSITEIT UTRECHT,UU,NL,Utrecht,participant,HES,f,274370.40,0.00
569624,999994826,101168820,FREIE UNIVERSITAET BERLIN,Freie Universitaet Berlin,DE,BERLIN,participant,HES,f,260539.20,0.00
569625,999865234,101168820,UNIVERSIDAD DEL PAIS VASCO/ EUSKAL HERRIKO UNIBERTSITATEA,UPV/EHU,ES,LEIOA,associatedpartner,HES,f,,0.00
569626,928273511,101168820,"FUNDACION BCMATERIALS -  BASQUE CENTRE FOR MATERIALS, APPLICATIONS AND NANOSTRUCTURES",BCMATERIALS,ES,LEIOA,participant,REC,f,755913.60,0.00
569686,999986096,101125822,UNIVERSITEIT GENT,UGent,BE,GENT,coordinator,HES,f,1997500.00,1997500.00
569688,999572294,101136269,UNIWERSYTET WARSZAWSKI,UNIWARSAW,PL,WARSZAWA,participant,HES,f,76562.50,76562.50
569689,999990946,101136269,KUNGLIGA TEKNISKA HOEGSKOLAN,KTH,SE,STOCKHOLM,participant,HES,f,401250.00,401250.00
569690,999980470,101136269,FORSCHUNGSZENTRUM JULICH GMBH,FZJ,DE,JULICH,participant,REC,f,527462.50,527462.50
569691,999992401,101136269,COMMISSARIAT A L ENERGIE ATOMIQUE ET AUX ENERGIES ALTERNATIVES,CEA,FR,Paris,coordinator,REC,f,948625.00,948625.00
569692,999513706,101136269,"INESC TEC - INSTITUTO DE ENGENHARIADE SISTEMAS E COMPUTADORES, TECNOLOGIA E CIENCIA",INESC TEC,PT,PORTO,participant,REC,f,130875.00,130875.00
569693,999606923,101136269,FUNDACIO INSTITUT CATALA DE NANOCIENCIA I NANOTECNOLOGIA,ICN2-CERCA,ES,BELLATERRA (BARCELONA),participant,REC,f,195812.50,195812.50
569694,998692310,101136269,DEUTSCHES KLIMARECHENZENTRUM GMBH,,DE,HAMBURG,participant,REC,f,323800.00,323800.00
569695,999979500,101136269,CONSIGLIO NAZIONALE DELLE RICERCHE,CNR,IT,Roma,participant,REC,f,334750.00,334750.00
569696,999916741,101136269,EUROPEAN CENTRE FOR MEDIUM-RANGE WEATHER FORECASTS,ECMWF,UK,READING,participant,REC,f,206875.00,206875.00
569697,999974747,101136269,UNIVERSITY OF STUTTGART,USTUTT,DE,Stuttgart,participant,HES,f,126112.50,126112.50
569698,999843409,101136269,CINECA CONSORZIO INTERUNIVERSITARIO,CINECA,IT,CASALECCHIO DI RENO BO,participant,REC,f,117125.00,117125.00
569699,999997930,101136269,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS,CNRS,FR,PARIS,participant,REC,f,188125.00,188125.00
569700,999655520,101136269,BARCELONA SUPERCOMPUTING CENTER CENTRO NACIONAL DE SUPERCOMPUTACION,BSC CNS,ES,BARCELONA,participant,REC,f,761875.00,761875.00
569701,999645820,101136269,CSC-TIETEEN TIETOTEKNIIKAN KESKUS OY,CSC-IT CENTER FOR SCIENCE LTD,FI,Espoo,participant,OTH,f,660750.00,660750.00
569887,999829635,101155036,UNIVERSIDAD DE SANTIAGO DE COMPOSTELA,UNIVERSIDADE DE SANTIAGO DE COMPOSTELA,ES,SANTIAGO DE COMPOSTELA,coordinator,HES,f,181152.96,0.00
569955,999991043,101146918,KOBENHAVNS UNIVERSITET,UCPH,DK,KOBENHAVN,coordinator,HES,f,214934.40,0.00
570889,884863004,101136414,QUOBLY,,FR,GRENOBLE,coordinator,PRC,t,2440870.00,2440870.00
573951,999547074,101120296,INSTITUT NATIONAL DE RECHERCHE EN INFORMATIQUE ET AUTOMATIQUE,INRIA,FR,Le Chesnay Cedex,coordinator,REC,f,565387.20,0.00
573952,999874643,101120296,UNIVERSITETET I TROMSOE - NORGES ARKTISKE UNIVERSITET,UiT,NO,Tromso,participant,HES,f,595497.60,0.00
573953,898860007,101120296,BLUETENSOR S.R.L.,BLUETENSOR S.R.L.,IT,Trento,associatedpartner,PRC,f,,0.00
573954,897539352,101120296,HSBC BANK PLC,,UK,London,associatedpartner,PRC,f,,0.00
573955,897482801,101120296,UNIVERSITE COTE D'AZUR,,FR,Nice,associatedpartner,HES,f,,0.00
573956,884379168,101120296,Arva AS,Arva,NO,Bodø,associatedpartner,PRC,f,,0.00
573957,999619436,101120296,FUNDACIO INSTITUT DE CIENCIES FOTONIQUES,ICFO-CERCA,ES,Castelldefels,participant,REC,f,251971.20,0.00
573958,909383440,101120296,QUANTINUUM LTD,QUANTINUUM LTD,UK,London,associatedpartner,PRC,f,,0.00
573959,999895789,101120296,UNIVERSITA DEGLI STUDI DI FIRENZE,UNIFI,IT,Florence,participant,HES,f,259437.60,0.00
573960,999854564,101120296,UNIVERSITAET LEIPZIG,ULEI,DE,Leipzig,associatedpartner,HES,f,,0.00
573961,999976202,101120296,UNIVERSITAT POLITECNICA DE CATALUNYA,UPC,ES,BARCELONA,associatedpartner,HES,f,,0.00
573962,999848744,101120296,CESKE VYSOKE UCENI TECHNICKE V PRAZE,CVUT,CZ,PRAHA,participant,HES,f,237038.40,0.00
573963,910878695,101120296,QUANDELA,,FR,MASSY,associatedpartner,PRC,t,,0.00
