id,publication_number,country,doc_number,kind,title,publication_date,publication_year,family_id,applicant_names,applicant_countries,cpc_codes,ipc_codes,filing_date
4864516,AUPQ975900A0,AU,PQ975900,A0,A process for the fabrication of a quantum computer,2000-09-21,2000,3823813,UNISEARCH LTD; UNISEARCH LTD.,,"{H01L21/306,B82Y10/00,G01Q80/00,G06N10/00,H01L21/223,H10D30/014,H10D30/402,H10D48/3835,H01L21/306,G01Q80/00,G06N10/00}",,2000-08-30
131041305,US6081882A,US,6081882,A,Quantum acceleration of conventional non-quantum computers,2000-06-27,2000,22012227,"SILICON GRAPHICS INC; SILICON GRAPHICS, INC.",{US},"{B82Y10/00,G06N10/20,Y10S977/933,G06N10/20,B82Y10/00,Y10S977/933}",,
146023908,WO0030255A2,WO,0030255,A2,CRYSTAL LATTICE QUANTUM COMPUTER,2000-05-25,2000,22318333,UNIV LELAND STANFORD JUNIOR; THE BOARD OF TRUSTEES OF THE LELAND STANFORD JUNIOR UNIVERSITY,{US},"{B82Y10/00,G06N10/40,G06N10/40,B82Y10/00}",,
146023909,WO0030255A3,WO,0030255,A3,CRYSTAL LATTICE QUANTUM COMPUTER,2000-08-31,2000,22318333,UNIV LELAND STANFORD JUNIOR; THE BOARD OF TRUSTEES OF THE LELAND STANFORD JUNIOR UNIVERSITY,{US},"{B82Y10/00,G06N10/40,G06N10/40,B82Y10/00}",,
146031697,WO0036561A2,WO,0036561,A2,QUANTUM COMPUTATION WITH QUANTUM DOTS AND TERAHERTZ CAVITY QUANTUM ELECTRODYNAMICS,2000-06-22,2000,26809945,"UNIV CALIFORNIA; THE REGENTS OF THE UNIVERSITY OF CALIFORNIA; SHERWIN, MARK, STEPHEN; IMAMOGLU, ATAC","{US,US,US}","{B82Y10/00,G06N10/20,G06N10/40,G06N10/40,G06N10/20}",,
146031698,WO0036561A3,WO,0036561,A3,QUANTUM COMPUTATION WITH QUANTUM DOTS AND TERAHERTZ CAVITY QUANTUM ELECTRODYNAMICS,2000-08-31,2000,26809945,"UNIV CALIFORNIA; THE REGENTS OF THE UNIVERSITY OF CALIFORNIA; SHERWIN, MARK, STEPHEN; IMAMOGLU, ATAC","{US,US,US}","{B82Y10/00,G06N10/20,G06N10/40,G06N10/40,G06N10/20}",,
4867321,AUPR262501A0,AU,PR262501,A0,A hybrid method of operating a quantum computer,2001-02-15,2001,3826652,UNISEARCH LTD; UNISEARCH LTD.,,,,2001-01-18
4867332,AUPR263601A0,AU,PR263601,A0,A polynomial-bounded method of operating a quantum computer,2001-02-15,2001,3826663,UNISEARCH LTD; UNISEARCH LTD.,,,,2001-01-19
12026520,CN1278967A,CN,1278967,A,Quantum computer,2001-01-03,2001,3803551,UNISEARCH LTD; UNISEARCH LIMITED,{AU},"{H10D30/402,B82Y10/00,G06N10/00,H10D48/3835,Y10S977/933,H10D30/00,G06N10/00,H10D30/43,H10D30/402,B82Y10/00,G06N10/00,Y10S977/933}",,
76558889,GB0120744D0,GB,0120744,D0,Quantum computation with coherent optical pulses,2001-10-17,2001,9921026,HEWLETT PACKARD CO; HEWLETT-PACKARD COMPANY,,"{B82Y10/00,G06N10/40,G06N10/40,B82Y10/00}",,
101042287,JP2001021932A,JP,2001021932,A,QUANTUM COMPUTER,2001-01-26,2001,16238740,FUJITSU LTD; FUJITSU LTD,,{B82Y10/00},,
101164582,JP2001144283A,JP,2001144283,A,QUANTUM DOT QUANTUM COMPUTER ELEMENT,2001-05-25,2001,18187145,FUJITSU LTD; FUJITSU LTD,,{B82Y10/00},,
101377192,JP2001357026A,JP,2001357026,A,"METHOD FOR REALIZING Q-BIT FOR QUANTUM COMPUTER, METHOD AND CIRCUIT FOR REALIZING BASIC ARITHMETIC",2001-12-26,2001,18711910,NORIKURA HISAAKI; NORIKURA HISAAKI,,"{B82Y10/00,G06N10/20,G06N10/20}",,
113137380,KR20010030601A,KR,20010030601,A,QUANTUM COMPUTER,2001-04-16,2001,3803551,"",,"{H10D30/402,B82Y10/00,G06N10/00,H10D48/3835,Y10S977/933,H10D30/00,G06N10/00,H10D30/43,H10D30/402,B82Y10/00,G06N10/00,Y10S977/933}",,
113191993,KR20010085237A,KR,20010085237,A,OPTICAL METHOD FOR QUANTUM COMPUTING,2001-09-07,2001,22174682,"",,"{B82Y10/00,G06N10/20,G06N10/70,B82Y10/00,G06N10/20,G06N10/70,G06N10/70,G06N10/20}",,
113199691,KR20010092937A,KR,20010092937,A,Genetic Quantum Algorithm using quantum computing concept,2001-10-27,2001,19659037,KOREA ADVANCED INST SCI & TECH; KOREA ADVANCED INSTITUTE OF SCIENCE AND TECHNOLOGY,{KR},"{B82Y10/00,G06N10/60,G06N10/60,G06N10/60}",,
146183821,WO0175512A1,WO,0175512,A1,A METHOD AND APPARATUS FOR CREATING AT LEAST ONE QUBIT IN A QUANTUM COMPUTING DEVICE,2001-10-11,2001,24161541,MOUNT VERNON VENTURES INC; MOUNT VERNON VENTURES INC.,{US},"{G02F3/00,B82Y10/00,Y10S977/933,G02F3/00,B82Y10/00,Y10S977/933}",,
146172408,WO0167186A1,WO,0167186,A1,METHOD AND HARDWARE ARCHITECTURE FOR CONTROLLING A PROCESS OR FOR PROCESSING DATA BASED ON QUANTUM SOFT COMPUTING,2001-09-13,2001,11133494,"ST MICROELECTRONICS SRL; STMICROELECTRONICS S.R.L.; YAMAHA MOTOR EUROPE N.V.; ULYANOV, SERGUEI; RIZZOTTO, GIANGUIDO; KURAWAKI, ICHIRO; PANFILOV, SERGUEI; GHISI, FABIO; AMATO, PAOLO; PORTO, MASSIMO","{IT,NL,IT,IT,IT,IT,IT,IT,IT}","{B82Y10/00,G05B13/0285,G06N10/60,G05B13/0285,B82Y10/00,G06N10/60,Y10S706/903,Y10S706/906}",,
146178586,WO0171661A1,WO,0171661,A1,A QUANTUM SYSTEM COMPUTER,2001-09-27,2001,4574639,"LINKGROW TECHNOLOGY LTD; LINKGROW TECHNOLOGY LIMITED; QIAN, CHAO; CHEUNG, HIU, CHING","{CN,CN,CN}","{B82Y10/00,G06N10/40,G06N10/60,G06N10/40,G06N10/60}",,
146746774,WO9956392A3,WO,9956392,A3,OPTICAL METHOD FOR QUANTUM COMPUTING,2001-12-13,2001,22174682,UNIV JOHNS HOPKINS; THE JOHNS HOPKINS UNIVERSITY,{US},"{B82Y10/00,G06N10/20,G06N10/70,B82Y10/00,G06N10/20,G06N10/70,G06N10/70,G06N10/20}",,
4014461,AU733193B2,AU,733193,B2,Quantum computer,2001-05-10,2001,25641449,UNISEARCH LTD; UNISEARCH LIMITED,,"{B82Y10/00,G06N10/20,G06N10/40,G06N10/20,G06N10/40}",,1998-09-17
4014462,AU733193C,AU,733193,C,Quantum computer,2001-11-29,2001,25641449,UNISEARCH LTD; UNISEARCH LIMITED,,"{B82Y10/00,G06N10/20,G06N10/40,G06N10/20,G06N10/40}",,1998-09-17
80227844,IL134920A0,IL,134920,A0,QUANTUM COMPUTER,2001-05-20,2001,3803551,UNISEARCH LTD; UNISEARCH LIMITED,,"{H10D30/402,B82Y10/00,G06N10/00,H10D48/3835,Y10S977/933,H10D30/00,G06N10/00,H10D30/43,H10D30/402,B82Y10/00,G06N10/00,Y10S977/933}",,
69898405,EP1083520A2,EP,1083520,A2,System and method for control using quantum soft computing,2001-03-14,2001,22515643,YAMAHA MOTOR CO LTD; YAMAHA HATSUDOKI KABUSHIKI KAISHA,{JP},"{B82Y10/00,G06N10/60,Y10S977/933,G06N10/60,B82Y10/00,Y10S977/933}",,
4319788,AU3415500A,AU,3415500,A,A quantum system computer,2001-10-03,2001,4574639,LINKGROW TECHNOLOGY LTD; LINKGROW TECHNOLOGY LIMITED,,"{B82Y10/00,G06N10/40,G06N10/60,G06N10/40,G06N10/60}",,2000-03-22
4506575,AU5310601A,AU,5310601,A,A method and apparatus for creating at least one qubit in a quantum computing device,2001-10-15,2001,24161541,MOUNT VERNON VENTURES INC; MOUNT VERNON VENTURES INC.,,"{G02F3/00,B82Y10/00,Y10S977/933,G02F3/00,B82Y10/00,Y10S977/933}",,2001-04-03
123057973,TW423028B,TW,423028,B,Quantum computer,2001-02-21,2001,3803551,UNISEARCH LTD; UNISEARCH LTD,{AU},"{H10D30/402,B82Y10/00,G06N10/00,H10D48/3835,Y10S977/933,H10D30/00,G06N10/00,H10D30/43,H10D30/402,B82Y10/00,G06N10/00,Y10S977/933}",,
131177767,US6218832B1,US,6218832,B1,Nuclear magnetic resonance quantum computing method with improved solvents,2001-04-17,2001,22949867,IBM; INTERNATIONAL BUSINESS MACHINES CORPORATION,{US},"{B82Y10/00,G06N10/60,G06N10/60,B82Y10/00}",,
137754311,US2001020701A1,US,2001020701,A1,Quantum computing method using magnetic flux states at a josephson junction,2001-09-13,2001,23797775,ZAGOSKIN ALEXANDRE M; ZAGOSKIN ALEXANDRE M.,{CA},"{B82Y10/00,G06N10/40,H10N60/124,Y10S505/829,Y10S977/933,H10N60/124,B82Y10/00,G06N10/40,Y10S505/829,Y10S977/933}",,
137757549,US2001023943A1,US,2001023943,A1,Quantum computing method using josephson junctions between s-wave and d-wave superconductors,2001-09-27,2001,23903596,ZAGOSKIN ALEXANDRE M; ZAGOSKIN ALEXANDRE M.,{CA},"{B82Y10/00,G06N10/40,H10N60/124,Y10S505/829,Y10S977/933,H10N60/124,B82Y10/00,G06N10/40}",,
70096384,EP1183778A2,EP,1183778,A2,OPTICAL METHOD FOR QUANTUM COMPUTING,2002-03-06,2002,22174682,UNIV JOHNS HOPKINS; THE JOHNS HOPKINS UNIVERSITY,{US},"{B82Y10/00,G06N10/20,G06N10/70,B82Y10/00,G06N10/20,G06N10/70,G06N10/70,G06N10/20}",,
4926116,AU2002306692A1,AU,2002306692,A1,Solid-state quantum dot devices and quantum computing using nanostructured logic dates,2002-09-24,2002,23049866,WISCONSIN ALUMNI RES FOUND; WISCONSIN ALUMNI RESEARCH FOUNDATION,,"{B82Y10/00,H10D48/3835,H10D62/812,H10D62/814,H10D62/822,H10D62/832,H10D64/27,Y10S977/933,H10D62/812,B82Y10/00,Y10S977/933}",,2002-03-08
101449239,JP2002042104A,JP,2002042104,A,CONTROL SYSTEM AND CONTROL METHOD USING QUANTUM SOFT COMPUTING,2002-02-08,2002,18719911,YAMAHA MOTOR CO LTD; YAMAHA MOTOR CO LTD,,"{B82Y10/00,G06N10/60,G06N10/60}",,
131395453,US6437413B1,US,6437413,B1,Crystal lattice quantum computer,2002-08-20,2002,22318333,UNIV LELAND STANFORD JUNIOR; THE BOARD OF TRUSTEES OF THE LELAND STANDFORD JUNIOR UNIVERSITY,{US},"{B82Y10/00,G06N10/40,G06N10/40,B82Y10/00}",,
131414974,US6456994B1,US,6456994,B1,Compiler for a quantum computer,2002-09-24,2002,22111908,TUCCI ROBERT; TUCCI ROBERT,{US},"{B82Y10/00,G06N7/01,G06N10/20,Y10S977/933,G06N7/01,B82Y10/00,G06N10/20,Y10S977/933}",,
131430592,US6472681B1,US,6472681,B1,Quantum computer,2002-10-29,2002,3803551,UNISEARCH LTD; UNISEARCH LIMITED,{AU},"{H10D30/402,B82Y10/00,G06N10/00,H10D48/3835,Y10S977/933,H10D30/00,G06N10/00,H10D30/43,H10D30/402,B82Y10/00,G06N10/00,Y10S977/933}",,
146242624,WO0218266A1,WO,0218266,A1,SINGLE MOLECULE ARRAY ON SILICON SUBSTRATE FOR QUANTUM COMPUTER,2002-03-07,2002,3823813,"UNISEARCH LTD; UNISEARCH LIMITED; CLARK, ROBERT, GRAHAM; DZURAK, ANDREW, STEVEN; O'BRIEN, JEREMY, LLOYD; SCHOFIELD, STEVEN, RICHARD; SIMMONS, MICHELLE, YVONNE","{AU,AU,AU,AU,AU,AU}","{H01L21/306,B82Y10/00,G01Q80/00,G06N10/00,H01L21/223,H10D30/014,H10D30/402,H10D48/3835,H01L21/306,G01Q80/00,G06N10/00}",,
146782036,WO02065393A2,WO,02065393,A2,OPTIMIZATION METHOD FOR QUANTUM COMPUTING PROCESS,2002-08-22,2002,25127488,"DWAVE SYS INC; D-WAVE SYSTEMS, INC.; BLAIS, ALEXANDRE","{CA,CA}","{B82Y10/00,G06N10/20,G06N10/60,G06N10/20,B82Y10/00,G06N10/60}",,
146793881,WO02073527A2,WO,02073527,A2,SOLID-STATE QUANTUM DOT DEVICES AND QUANTUM COMPUTING USING NANOSTRUCTURED LOGIC DATES,2002-09-19,2002,23049866,WISCONSIN ALUMNI RES FOUND; WISCONSIN ALUMNI RESEARCH FOUNDATION,{US},"{B82Y10/00,H10D48/3835,H10D62/812,H10D62/814,H10D62/822,H10D62/832,H10D64/27,Y10S977/933,H10D62/812,B82Y10/00,Y10S977/933}",,
4125037,AU1499202A,AU,1499202,A,Method for quantum computing,2002-04-08,2002,26071447,RAUSSENDORF ROBERT; ROBERT RAUSSENDORF; HANS J. BRIEGEL,,"{B82Y10/00,G06N10/20,G06N10/40,G06N10/40,B82Y10/00,G06N10/20}",,2001-09-26
4759850,AU8159501A,AU,8159501,A,Single molecule array on silicon substrate for quantum computer,2002-03-13,2002,25639833,UNISEARCH LTD; UNISEARCH LIMITED,,"{B82Y10/00,G06N10/40,G06N10/40}",,2001-08-24
9610068,CA2438313A1,CA,2438313,A1,OPTIMIZATION METHOD FOR QUANTUM COMPUTING PROCESS,2002-08-22,2002,25127488,"DWAVE SYS INC; D-WAVE SYSTEMS, INC.",{CA},"{B82Y10/00,G06N10/20,G06N10/60,G06N10/20,B82Y10/00,G06N10/60}",,2002-02-13
9610862,CA2438871A1,CA,2438871,A1,SOLID-STATE QUANTUM DOT DEVICES AND QUANTUM COMPUTING USING NANOSTRUCTURED LOGIC GATES,2002-09-19,2002,23049866,WISCONSIN ALUMNI RES FOUND; WISCONSIN ALUMNI RESEARCH FOUNDATION,{US},"{B82Y10/00,H10D48/3835,H10D62/812,H10D62/814,H10D62/822,H10D62/832,H10D64/27,Y10S977/933,H10D62/812,B82Y10/00,Y10S977/933}",,2002-03-08
76578778,GB0209773D0,GB,0209773,D0,Method for quantum computing,2002-06-05,2002,26071447,"RAUSSENDORF ROBERT; RAUSSENDORF, ROBERT; BRIEGEL, HANS J",,"{B82Y10/00,G06N10/20,G06N10/40,G06N10/40,B82Y10/00,G06N10/20}",,
69764998,EP1016216A4,EP,1016216,A4,QUANTUM COMPUTER,2002-05-08,2002,3803551,UNISEARCH LTD; UNISEARCH LIMITED,{AU},"{H10D30/402,B82Y10/00,G06N10/00,H10D48/3835,Y10S977/933,H10D30/00,G06N10/00,H10D30/43,H10D30/402,B82Y10/00,G06N10/00,Y10S977/933}",,
70109313,EP1190278A1,EP,1190278,A1,METHOD AND HARDWARE ARCHITECTURE FOR CONTROLLING A PROCESS OR FOR PROCESSING DATA BASED ON QUANTUM SOFT COMPUTING,2002-03-27,2002,11133494,ST MICROELECTRONICS SRL; STMICROELECTRONICS S.R.L.; YAMAHA MOTOR EUROPE N.V.,"{IT,NL}","{B82Y10/00,G05B13/0285,G06N10/60,G05B13/0285,B82Y10/00,G06N10/60,Y10S706/903,Y10S706/906}",,
70251141,EP1262911A1,EP,1262911,A1,Quantum computer,2002-12-04,2002,8182001,HITACHI EUROP LTD; HITACHI EUROPE LIMITED,{GB},"{H10D62/118,B82Y10/00,G06N10/40,H10D48/3835,G06N10/40,B82Y10/00}",,
109149989,KR100350233B1,KR,100350233,B1,Genetic Quantum Algorithm using quantum computing concept,2002-08-27,2002,19659037,"",,"{B82Y10/00,G06N10/60,G06N10/60,G06N10/60}",,
123124860,TW503592B,TW,503592,B,Quantum computing with d-wave superconductors,2002-09-21,2002,23889170,IBM; INTERNATIONAL BUSINESS MACHINES CORPORATION,{US},"{B82Y10/00,G06N10/40,H10N60/124,H10N60/128,Y10S977/933,H10N60/128,B82Y10/00,G06N10/40,H10N60/124,Y10S977/933}",,
131453683,US6495854B1,US,6495854,B1,Quantum computing with d-wave superconductors,2002-12-17,2002,23889170,IBM; INTERNATIONAL BUSINESS MACHINES CORPORATION,{US},"{B82Y10/00,G06N10/40,H10N60/124,H10N60/128,Y10S977/933,H10N60/128,B82Y10/00,G06N10/40,H10N60/124,Y10S977/933}",,
137942011,US2002152191A1,US,2002152191,A1,Method of interrogating a database using a quantum computer,2002-10-17,2002,25151568,HOLLENBERG LLOYD CHRISTOPHER L; HOLLENBERG LLOYD CHRISTOPHER LEONARD; O'DONOGHUE SEAN IGNATIUS,"{AU,DE}","{B82Y10/00,G16B15/00,G16B15/20,G16B30/00,G16B30/10,G16B50/00,G16B30/10,B82Y10/00,G16B15/00,G16B15/20,G16B30/00,G16B50/00}",,
137969716,US2002179897A1,US,2002179897,A1,Solid-state quantum dot devices and quantum computing using nanostructured logic gates,2002-12-05,2002,23049866,ERIKSSON MARK A; ERIKSSON MARK A.; FRIESEN MARK G.; JOYNT ROBERT J.; LAGALLY MAX G.; VAN DER WEIDE DANIEL W.; RUGHEIMER PAUL; SAVAGE DONALD E.,"{US,US,US,US,US,US,US}","{B82Y10/00,H10D48/3835,H10D62/812,H10D62/814,H10D62/822,H10D62/832,H10D64/27,Y10S977/933,H10D62/812,B82Y10/00,Y10S977/933}",,
137969825,US2002180006A1,US,2002180006,A1,Ferroelectric-superconductor heterostructures in solid state quantum computing systems,2002-12-05,2002,25360814,FRANZ MARCEL; FRANZ MARCEL; ROSE GEORDIE; HILTON JEREMY,"{CA,CA,CA}","{B82Y10/00,G06N10/40,H10N60/128,H10N60/84,H10N60/128,B82Y10/00,G06N10/40,H10N60/84}",,
137980068,US2002190249A1,US,2002190249,A1,Quantum computer,2002-12-19,2002,8182001,WILLIAMS DAVID ARFON; WILLIAMS DAVID ARFON; CAIN PAUL,"{GB,GB}","{H10D62/118,B82Y10/00,G06N10/40,H10D48/3835,G06N10/40,B82Y10/00}",,
146255961,WO0227653A2,WO,0227653,A2,METHOD FOR QUANTUM COMPUTING,2002-04-04,2002,26071447,"RAUSSENDORF ROBERT; RAUSSENDORF, ROBERT; BRIEGEL, HANS, J.","{DE,DE}","{B82Y10/00,G06N10/20,G06N10/40,G06N10/40,B82Y10/00,G06N10/20}",,
4990408,AU2003216870A1,AU,2003216870,A1,QUANTUM CELLULAR AUTOMATA COMPUTING WITH ENDOHEDRAL FULLERENES,2003-10-08,2003,28454792,NAT UNIV IRELAND MAYNOOTH; NATIONAL UNIVERSITY OF IRELAND MAYNOOTH,,"{G06N10/40,G06N10/20,G06N10/40,G06N10/20}",,2003-03-21
12171861,CN1419660A,CN,1419660,A,Optical method for quantum computing,2003-05-21,2003,22174682,UNIV JOHNS HOPKINS; THE JOHNS HOPKINS UNIV.,{US},"{B82Y10/00,G06N10/20,G06N10/70,B82Y10/00,G06N10/20,G06N10/70,G06N10/70,G06N10/20}",,
101893436,JP2003067181A,JP,2003067181,A,QUANTUM COMPUTER AND CONTROL METHOD THEREFOR,2003-03-07,2003,19082267,NIPPON TELEGRAPH & TELEPHONE; NIPPON TELEGR & TELEPH CORP <NTT>,,"{B82Y10/00,G06N10/40,G06N10/40}",,
101913038,JP2003086786A,JP,2003086786,A,QUANTUM COMPUTER,2003-03-20,2003,8182180,HITACHI LTD; HITACHI LTD,,"{B82Y10/00,G06N10/40,Y10S977/933,G06N10/40,B82Y10/00,Y10S977/933}",,
101913040,JP2003086788A,JP,2003086788,A,QUANTUM COMPUTER,2003-03-20,2003,8182001,HITACHI LTD; HITACHI LTD,,"{H10D62/118,B82Y10/00,G06N10/40,H10D48/3835,G06N10/40,B82Y10/00}",,
101872757,JP2003046501A,JP,2003046501,A,"ENCRYPTION DEVICE, ENCRYPTION METHOD, ENCRYPTION PROGRAM, COMPUTER-READABLE RECORDING MEDIUM WITH THE ENCRYPTION PROGRAM RECORDED, DECODER, DECODING METHOD, DECODING PROGRAM, THE COMPUTER-READABLE RECORDING MEDIUM WITH THE DECODING PROGRAM RECORDED, ENCRYPTION DECODING SYSTEM, ENCRYPTED LOGIC REVISING DEVICE, RANDOM NUMBER GENERATING DEVICE, REPLACEMENT DEVICE, QUANTUM ENCRYPTION DEVICE, AND ENCRYPTION DEVICE",2003-02-14,2003,19063847,MITSUBISHI ELECTRIC CORP; MITSUBISHI ELECTRIC CORP,,,,
